# HELP free5gc_sbi_inbound_request_duration_seconds Histogram of request latencies
# TYPE free5gc_sbi_inbound_request_duration_seconds histogram
free5gc_sbi_inbound_request_duration_seconds_bucket{method="GET",nf_type="NSSF",path="/nnssf-nsselection/v2/network-slice-information",status_code="200 OK",le="0.0001"} 0
free5gc_sbi_inbound_request_duration_seconds_bucket{method="GET",nf_type="NSSF",path="/nnssf-nsselection/v2/network-slice-information",status_code="200 OK",le="0.005"} 491
free5gc_sbi_inbound_request_duration_seconds_bucket{method="GET",nf_type="NSSF",path="/nnssf-nsselection/v2/network-slice-information",status_code="200 OK",le="0.01"} 1666
free5gc_sbi_inbound_request_duration_seconds_bucket{method="GET",nf_type="NSSF",path="/nnssf-nsselection/v2/network-slice-information",status_code="200 OK",le="0.02"} 1947
free5gc_sbi_inbound_request_duration_seconds_bucket{method="GET",nf_type="NSSF",path="/nnssf-nsselection/v2/network-slice-information",status_code="200 OK",le="0.025"} 1958
free5gc_sbi_inbound_request_duration_seconds_bucket{method="GET",nf_type="NSSF",path="/nnssf-nsselection/v2/network-slice-information",status_code="200 OK",le="0.05"} 1966
free5gc_sbi_inbound_request_duration_seconds_bucket{method="GET",nf_type="NSSF",path="/nnssf-nsselection/v2/network-slice-information",status_code="200 OK",le="+Inf"} 1970
free5gc_sbi_inbound_request_duration_seconds_sum{method="GET",nf_type="NSSF",path="/nnssf-nsselection/v2/network-slice-information",status_code="200 OK"} 14.686368168999989
free5gc_sbi_inbound_request_duration_seconds_count{method="GET",nf_type="NSSF",path="/nnssf-nsselection/v2/network-slice-information",status_code="200 OK"} 1970
# HELP free5gc_sbi_inbound_request_total Total number of SBI inbound requests received by the NF
# TYPE free5gc_sbi_inbound_request_total counter
free5gc_sbi_inbound_request_total{cause="",method="GET",nf_type="NSSF",path="/nnssf-nsselection/v2/network-slice-information",status_code="200 OK"} 1970
# HELP free5gc_sbi_outbound_request_duration_seconds Histogram of request latencies
# TYPE free5gc_sbi_outbound_request_duration_seconds histogram
free5gc_sbi_outbound_request_duration_seconds_bucket{method="PUT",nf_type="NSSF",status_code="201 Created",target_service_name="nnrf-nfm",le="0.0001"} 0
free5gc_sbi_outbound_request_duration_seconds_bucket{method="PUT",nf_type="NSSF",status_code="201 Created",target_service_name="nnrf-nfm",le="0.005"} 0
free5gc_sbi_outbound_request_duration_seconds_bucket{method="PUT",nf_type="NSSF",status_code="201 Created",target_service_name="nnrf-nfm",le="0.01"} 0
free5gc_sbi_outbound_request_duration_seconds_bucket{method="PUT",nf_type="NSSF",status_code="201 Created",target_service_name="nnrf-nfm",le="0.02"} 1
free5gc_sbi_outbound_request_duration_seconds_bucket{method="PUT",nf_type="NSSF",status_code="201 Created",target_service_name="nnrf-nfm",le="0.025"} 1
free5gc_sbi_outbound_request_duration_seconds_bucket{method="PUT",nf_type="NSSF",status_code="201 Created",target_service_name="nnrf-nfm",le="0.05"} 1
free5gc_sbi_outbound_request_duration_seconds_bucket{method="PUT",nf_type="NSSF",status_code="201 Created",target_service_name="nnrf-nfm",le="+Inf"} 1
free5gc_sbi_outbound_request_duration_seconds_sum{method="PUT",nf_type="NSSF",status_code="201 Created",target_service_name="nnrf-nfm"} 0.017969416
free5gc_sbi_outbound_request_duration_seconds_count{method="PUT",nf_type="NSSF",status_code="201 Created",target_service_name="nnrf-nfm"} 1
# HELP free5gc_sbi_outbound_request_total Total number of SBI outbound requests attempted or sent by the NF
# TYPE free5gc_sbi_outbound_request_total counter
free5gc_sbi_outbound_request_total{method="PUT",nf_type="NSSF",status_code="201 Created",target_service_name="nnrf-nfm"} 1
