# HELP free5gc_sbi_inbound_request_duration_seconds Histogram of request latencies
# TYPE free5gc_sbi_inbound_request_duration_seconds histogram
free5gc_sbi_inbound_request_duration_seconds_bucket{method="GET",nf_type="nrf",path="/nnrf-disc/v1/nf-instances",status_code="200 OK",le="0.0001"} 0
free5gc_sbi_inbound_request_duration_seconds_bucket{method="GET",nf_type="nrf",path="/nnrf-disc/v1/nf-instances",status_code="200 OK",le="0.005"} 3
free5gc_sbi_inbound_request_duration_seconds_bucket{method="GET",nf_type="nrf",path="/nnrf-disc/v1/nf-instances",status_code="200 OK",le="0.01"} 138
free5gc_sbi_inbound_request_duration_seconds_bucket{method="GET",nf_type="nrf",path="/nnrf-disc/v1/nf-instances",status_code="200 OK",le="0.02"} 532
free5gc_sbi_inbound_request_duration_seconds_bucket{method="GET",nf_type="nrf",path="/nnrf-disc/v1/nf-instances",status_code="200 OK",le="0.025"} 567
free5gc_sbi_inbound_request_duration_seconds_bucket{method="GET",nf_type="nrf",path="/nnrf-disc/v1/nf-instances",status_code="200 OK",le="0.05"} 591
free5gc_sbi_inbound_request_duration_seconds_bucket{method="GET",nf_type="nrf",path="/nnrf-disc/v1/nf-instances",status_code="200 OK",le="+Inf"} 591
free5gc_sbi_inbound_request_duration_seconds_sum{method="GET",nf_type="nrf",path="/nnrf-disc/v1/nf-instances",status_code="200 OK"} 8.073791545999999
free5gc_sbi_inbound_request_duration_seconds_count{method="GET",nf_type="nrf",path="/nnrf-disc/v1/nf-instances",status_code="200 OK"} 591
free5gc_sbi_inbound_request_duration_seconds_bucket{method="POST",nf_type="nrf",path="/oauth2/token",status_code="200 OK",le="0.0001"} 0
free5gc_sbi_inbound_request_duration_seconds_bucket{method="POST",nf_type="nrf",path="/oauth2/token",status_code="200 OK",le="0.005"} 0
free5gc_sbi_inbound_request_duration_seconds_bucket{method="POST",nf_type="nrf",path="/oauth2/token",status_code="200 OK",le="0.01"} 252
free5gc_sbi_inbound_request_duration_seconds_bucket{method="POST",nf_type="nrf",path="/oauth2/token",status_code="200 OK",le="0.02"} 1380
free5gc_sbi_inbound_request_duration_seconds_bucket{method="POST",nf_type="nrf",path="/oauth2/token",status_code="200 OK",le="0.025"} 1505
free5gc_sbi_inbound_request_duration_seconds_bucket{method="POST",nf_type="nrf",path="/oauth2/token",status_code="200 OK",le="0.05"} 1575
free5gc_sbi_inbound_request_duration_seconds_bucket{method="POST",nf_type="nrf",path="/oauth2/token",status_code="200 OK",le="+Inf"} 1576
free5gc_sbi_inbound_request_duration_seconds_sum{method="POST",nf_type="nrf",path="/oauth2/token",status_code="200 OK"} 22.845333953000022
